API_Type,Query_Type,Query_Param,Response_Time_ms,Response_Size_bytes,Status
REST,Simple Query,2,2.827167510986328,69,Success
REST,Simple Query,3,1.2545585632324219,69,Success
REST,Simple Query,4,1.0073184967041016,69,Success
REST,Simple Query,5,1.1458396911621094,69,Success
REST,Simple Query,6,1.0895729064941406,69,Success
REST,Simple Query,7,1.1067390441894531,69,Success
REST,Simple Query,8,1.0497570037841797,69,Success
REST,Simple Query,9,1.1138916015625,70,Success
REST,Simple Query,10,1.767873764038086,72,Success
REST,Simple Query,11,1.8999576568603516,72,Success
REST,Simple Query,12,1.4019012451171875,72,Success
REST,Simple Query,13,1.2781620025634766,72,Success
REST,Simple Query,14,1.0857582092285156,72,Success
REST,Simple Query,15,1.0273456573486328,72,Success
REST,Simple Query,16,0.9906291961669922,72,Success
REST,Simple Query,17,0.9839534759521484,72,Success
REST,Simple Query,18,1.0004043579101562,72,Success
REST,Simple Query,19,0.9348392486572266,73,Success
REST,Simple Query,20,0.9469985961914062,72,Success
REST,Simple Query,21,0.9889602661132812,72,Success
REST,Simple Query,22,1.1036396026611328,72,Success
REST,Simple Query,23,1.1386871337890625,72,Success
REST,Simple Query,24,1.4576911926269531,72,Success
REST,Simple Query,25,1.230478286743164,72,Success
REST,Simple Query,26,1.077413558959961,72,Success
REST,Simple Query,27,1.0538101196289062,72,Success
REST,Simple Query,28,1.0161399841308594,72,Success
REST,Simple Query,29,0.9403228759765625,73,Success
REST,Simple Query,30,1.0004043579101562,72,Success
REST,Simple Query,31,1.0242462158203125,72,Success
REST,Simple Query,32,1.0640621185302734,72,Success
REST,Simple Query,33,1.0459423065185547,72,Success
REST,Simple Query,34,1.0578632354736328,72,Success
REST,Simple Query,35,1.051187515258789,72,Success
REST,Simple Query,36,1.1208057403564453,72,Success
REST,Simple Query,37,1.0340213775634766,72,Success
REST,Simple Query,38,1.0287761688232422,72,Success
REST,Simple Query,39,1.0614395141601562,73,Success
REST,Simple Query,40,1.3570785522460938,72,Success
REST,Simple Query,41,1.1785030364990234,72,Success
REST,Simple Query,42,1.1856555938720703,72,Success
REST,Simple Query,43,1.1191368103027344,72,Success
REST,Simple Query,44,1.2676715850830078,72,Success
REST,Simple Query,45,1.066446304321289,72,Success
REST,Simple Query,46,1.0731220245361328,72,Success
REST,Simple Query,47,1.0099411010742188,72,Success
REST,Simple Query,48,0.9665489196777344,72,Success
REST,Simple Query,49,0.9496212005615234,73,Success
REST,Simple Query,50,0.9050369262695312,72,Success
REST,Simple Query,51,1.0423660278320312,72,Success
REST,Simple Query,52,1.2359619140625,72,Success
REST,Simple Query,53,1.714944839477539,72,Success
REST,Simple Query,54,2.099275588989258,72,Success
REST,Simple Query,55,2.744436264038086,72,Success
REST,Simple Query,56,2.1533966064453125,72,Success
REST,Simple Query,57,2.078533172607422,72,Success
REST,Simple Query,58,1.584768295288086,72,Success
REST,Simple Query,59,1.4438629150390625,73,Success
REST,Simple Query,60,1.317739486694336,72,Success
REST,Simple Query,61,1.15203857421875,72,Success
REST,Simple Query,62,1.132965087890625,72,Success
REST,Simple Query,63,1.531362533569336,72,Success
REST,Simple Query,64,1.760244369506836,72,Success
REST,Simple Query,65,1.270294189453125,72,Success
REST,Simple Query,66,1.1639595031738281,72,Success
REST,Simple Query,67,1.104593276977539,72,Success
REST,Simple Query,68,1.102447509765625,72,Success
REST,Simple Query,69,1.7313957214355469,73,Success
REST,Simple Query,70,1.5017986297607422,72,Success
REST,Simple Query,71,1.3415813446044922,72,Success
REST,Simple Query,72,1.2407302856445312,72,Success
REST,Simple Query,73,1.239776611328125,72,Success
REST,Simple Query,74,1.2540817260742188,72,Success
REST,Simple Query,75,1.0848045349121094,72,Success
REST,Simple Query,76,1.0640621185302734,72,Success
REST,Simple Query,77,1.2001991271972656,72,Success
REST,Simple Query,78,1.1706352233886719,72,Success
REST,Simple Query,79,1.071929931640625,73,Success
REST,Simple Query,80,0.9610652923583984,72,Success
REST,Simple Query,81,0.9894371032714844,72,Success
REST,Simple Query,82,0.95367431640625,72,Success
REST,Simple Query,83,1.1336803436279297,72,Success
REST,Simple Query,84,0.9329319000244141,72,Success
REST,Simple Query,85,0.9605884552001953,72,Success
REST,Simple Query,86,0.9849071502685547,72,Success
REST,Simple Query,87,0.92315673828125,72,Success
REST,Simple Query,88,0.9799003601074219,72,Success
REST,Simple Query,89,0.9984970092773438,73,Success
REST,Simple Query,90,0.9779930114746094,72,Success
REST,Simple Query,91,1.0924339294433594,72,Success
REST,Simple Query,92,1.0044574737548828,72,Success
REST,Simple Query,93,1.001596450805664,72,Success
REST,Simple Query,94,1.0378360748291016,72,Success
REST,Simple Query,95,1.15203857421875,72,Success
REST,Simple Query,96,1.026153564453125,72,Success
REST,Simple Query,97,0.9624958038330078,72,Success
REST,Simple Query,98,1.0297298431396484,72,Success
REST,Simple Query,99,1.041412353515625,73,Success
REST,Simple Query,100,1.1467933654785156,75,Success
REST,Simple Query,101,1.2125968933105469,75,Success
REST,All Users Query,N/A,2.3338794708251953,74781,Success
REST,Filtered Query,City 1,1.3949871063232422,7478,Success
GraphQL,Simple Query,2,2.971172332763672,86,Success
GraphQL,Simple Query,3,2.569437026977539,86,Success
GraphQL,Simple Query,4,2.5441646575927734,86,Success
GraphQL,Simple Query,5,2.423524856567383,86,Success
GraphQL,Simple Query,6,2.3915767669677734,86,Success
GraphQL,Simple Query,7,2.3164749145507812,86,Success
GraphQL,Simple Query,8,2.2263526916503906,86,Success
GraphQL,Simple Query,9,2.307891845703125,87,Success
GraphQL,Simple Query,10,2.2492408752441406,89,Success
GraphQL,Simple Query,11,3.0956268310546875,89,Success
GraphQL,Simple Query,12,4.853487014770508,89,Success
GraphQL,Simple Query,13,3.0672550201416016,89,Success
GraphQL,Simple Query,14,2.2597312927246094,89,Success
GraphQL,Simple Query,15,2.4569034576416016,89,Success
GraphQL,Simple Query,16,3.068208694458008,89,Success
GraphQL,Simple Query,17,2.360820770263672,89,Success
GraphQL,Simple Query,18,2.173900604248047,89,Success
GraphQL,Simple Query,19,2.077817916870117,90,Success
GraphQL,Simple Query,20,2.0728111267089844,89,Success
GraphQL,Simple Query,21,1.9993782043457031,89,Success
GraphQL,Simple Query,22,2.466917037963867,89,Success
GraphQL,Simple Query,23,2.214193344116211,89,Success
GraphQL,Simple Query,24,2.0723342895507812,89,Success
GraphQL,Simple Query,25,1.9147396087646484,89,Success
GraphQL,Simple Query,26,1.9483566284179688,89,Success
GraphQL,Simple Query,27,1.9924640655517578,89,Success
GraphQL,Simple Query,28,1.8508434295654297,89,Success
GraphQL,Simple Query,29,2.204418182373047,90,Success
GraphQL,Simple Query,30,2.1886825561523438,89,Success
GraphQL,Simple Query,31,2.1600723266601562,89,Success
GraphQL,Simple Query,32,2.0933151245117188,89,Success
GraphQL,Simple Query,33,1.9826889038085938,89,Success
GraphQL,Simple Query,34,1.7971992492675781,89,Success
GraphQL,Simple Query,35,2.2039413452148438,89,Success
GraphQL,Simple Query,36,1.9793510437011719,89,Success
GraphQL,Simple Query,37,1.9907951354980469,89,Success
GraphQL,Simple Query,38,1.922607421875,89,Success
GraphQL,Simple Query,39,1.9009113311767578,90,Success
GraphQL,Simple Query,40,1.9652843475341797,89,Success
GraphQL,Simple Query,41,2.0186901092529297,89,Success
GraphQL,Simple Query,42,1.9221305847167969,89,Success
GraphQL,Simple Query,43,1.8842220306396484,89,Success
GraphQL,Simple Query,44,2.1517276763916016,89,Success
GraphQL,Simple Query,45,1.88446044921875,89,Success
GraphQL,Simple Query,46,1.8079280853271484,89,Success
GraphQL,Simple Query,47,2.1054744720458984,89,Success
GraphQL,Simple Query,48,2.0270347595214844,89,Success
GraphQL,Simple Query,49,2.045154571533203,90,Success
GraphQL,Simple Query,50,2.050638198852539,89,Success
GraphQL,Simple Query,51,2.2933483123779297,89,Success
GraphQL,Simple Query,52,2.1102428436279297,89,Success
GraphQL,Simple Query,53,2.294778823852539,89,Success
GraphQL,Simple Query,54,2.1262168884277344,89,Success
GraphQL,Simple Query,55,2.1605491638183594,89,Success
GraphQL,Simple Query,56,2.037525177001953,89,Success
GraphQL,Simple Query,57,1.9633769989013672,89,Success
GraphQL,Simple Query,58,1.9686222076416016,89,Success
GraphQL,Simple Query,59,1.8815994262695312,90,Success
GraphQL,Simple Query,60,1.9125938415527344,89,Success
GraphQL,Simple Query,61,1.970529556274414,89,Success
GraphQL,Simple Query,62,1.9290447235107422,89,Success
GraphQL,Simple Query,63,2.2783279418945312,89,Success
GraphQL,Simple Query,64,2.1271705627441406,89,Success
GraphQL,Simple Query,65,2.204418182373047,89,Success
GraphQL,Simple Query,66,2.027750015258789,89,Success
GraphQL,Simple Query,67,1.8732547760009766,89,Success
GraphQL,Simple Query,68,1.8541812896728516,89,Success
GraphQL,Simple Query,69,2.019166946411133,90,Success
GraphQL,Simple Query,70,1.9180774688720703,89,Success
GraphQL,Simple Query,71,1.8167495727539062,89,Success
GraphQL,Simple Query,72,1.9125938415527344,89,Success
GraphQL,Simple Query,73,1.9948482513427734,89,Success
GraphQL,Simple Query,74,2.1216869354248047,89,Success
GraphQL,Simple Query,75,1.9612312316894531,89,Success
GraphQL,Simple Query,76,1.9679069519042969,89,Success
GraphQL,Simple Query,77,1.9998550415039062,89,Success
GraphQL,Simple Query,78,2.007007598876953,89,Success
GraphQL,Simple Query,79,2.0041465759277344,90,Success
GraphQL,Simple Query,80,2.133607864379883,89,Success
GraphQL,Simple Query,81,2.0220279693603516,89,Success
GraphQL,Simple Query,82,2.0575523376464844,89,Success
GraphQL,Simple Query,83,1.9104480743408203,89,Success
GraphQL,Simple Query,84,1.8565654754638672,89,Success
GraphQL,Simple Query,85,1.8875598907470703,89,Success
GraphQL,Simple Query,86,1.88446044921875,89,Success
GraphQL,Simple Query,87,1.8813610076904297,89,Success
GraphQL,Simple Query,88,2.018451690673828,89,Success
GraphQL,Simple Query,89,2.216815948486328,90,Success
GraphQL,Simple Query,90,2.186298370361328,89,Success
GraphQL,Simple Query,91,1.9800662994384766,89,Success
GraphQL,Simple Query,92,2.043485641479492,89,Success
GraphQL,Simple Query,93,2.2106170654296875,89,Success
GraphQL,Simple Query,94,1.9383430480957031,89,Success
GraphQL,Simple Query,95,1.985788345336914,89,Success
GraphQL,Simple Query,96,1.9233226776123047,89,Success
GraphQL,Simple Query,97,1.9147396087646484,89,Success
GraphQL,Simple Query,98,2.092599868774414,89,Success
GraphQL,Simple Query,99,2.0279884338378906,90,Success
GraphQL,Simple Query,100,1.928091049194336,92,Success
GraphQL,Simple Query,101,2.0599365234375,92,Success
GraphQL,All Users Query,N/A,16.15166664123535,74802,Success
GraphQL,Filtered Query,City 1,3.8161277770996094,7502,Success
